"сендвич","сендвич","бутерброд"
"сырок","сырок"
"твистер","твистер"
"спаржа","спаржа"
"гиро","гиро","гирос"
"мясо","мясо","шашлык","медальоны"
"яйцо","яичница","омлет","яйцо"
"хлопья","хлопья","Кукурузные хлопья","Овсяные хлопья"
"сыр","сыр"
"гейнер","гейнера","гейнер"
"шоколад","шоколадка","Шоколад"
"мороженное","мороженное"
"пицца","пицца"
"кофе","кофе"
"рыба","рыба"
"бургер","бургер"
"хлеб","хлеб"
"сосиска","сосиска","сарделька","Сосиски"
"шаверма","шаверма"
"сок","сока","сок"
"голубцы","голубцы"
"брускетта","брускетта"
"блин","блинчики","блин","блинчик"
"шаурма","шаурма"
"вермут","вермут"
"борщ","борща","борщ"
"снеки","снеки"
"пиво","пиво"
"птица","курица","кура"
"овощи","овощи","картофель","банан","тяхан","картофель фри","рис"
"салат","салат"
"йогурт","йогурт"
"бульон","бульон"
"окрошка","окрошка"
"молоко","молоко"
"суп","суп","солянка","рамен"
"печенье","печенье","печеньки"
"сладость","булочка","булка","Маффин","Круассан"
"фрукт","фрукты","фрукт","яблоко","арбуз","дыня"
"чай","чай"
"каша","каша","Гречневая каша","Манная каша","Овсяная каша","Перловая каша","Пшенная каша","Рисовая каша"
"пирог","пирог"
"макароны","макароны","спагетти"
"творог","творог","творога"
"чивас","чивас"
"чипсы","чипсы"
"запеканка","запеканка","чизкейк","тарталетка"
"вино","вино"
"смузи","смузи"
"бренди","бренди"
"вино","вино"
"виски","виски"
"водка","водка"
"джин","джин"
"коньяк","коньяк"
"пиво","пиво"
"ром","ром"
"шампанское","шампанское"
"какао","какао"
"квас","квас"
"кола","кола"
"грибы","грибы"
"икра","икра"
"каша","каша"
"хлопья","хлопья"
"колбаса","колбаса"
"кефир","кефир"
"орехи","орехи"
"вафли","вафли"
"конфеты","конфеты"
"мороженое","мороженое"
